gene_id	gene_name	.T0.s1	.T0.s2	.T0.s3	.T96.s4	.T96.s5	.T96.s6
ENSG00000090539	CHRD	46	30.001	37.001	37.13	22	33
ENSG00000090554	FLT3LG	8	0	2.801	16.302	2.188	11
ENSG00000090565	RAB11FIP3	180.56	243.33	188.447	171.923	205.707	191.045
ENSG00000090581	GNPTG	43.004	74.002	34.793	63.528	65.317	53
ENSG00000090612	ZNF268	129.503	233.974	85.606	197.622	278.328	239.269
ENSG00000090615	GOLGA3	203.871	198.525	169.636	358.774	152.46	186.685
ENSG00000090621	PABPC4	383.114	443.686	348.997	225.872	271.3	261.88
ENSG00000090659	CD209	17.036	20.054	21.046	67.922	11.996	10.763
ENSG00000090661	CERS4	22	26.001	39	26.013	25.276	26.096
ENSG00000090674	MCOLN1	170.999	181.001	178.379	261.964	302.999	314
ENSG00000090686	USP48	236.147	299.561	249.134	170.004	195.837	217.933
ENSG00000090776	EFNB1	113.731	161.928	107.729	64.265	226.19	37.197
ENSG00000090857	PDPR	238.46	143.61	207.188	171.048	132.631	155.34
ENSG00000090861	AARS1	1703	1976.002	1673	1498.001	1279	1483.999
ENSG00000090863	GLG1	1109.495	1397.022	1208.999	848.764	887.295	839.99
ENSG00000090889	KIF4A	285.921	345.824	245.186	151.669	128.104	159.246
ENSG00000090905	TNRC6A	1224.531	1601.313	1270.844	759.982	769.034	829.111
ENSG00000090924	PLEKHG2	55.001	73	85.458	67.937	54	58.492
ENSG00000090932	DLL3	38	34.723	41	50.619	86	71.039
ENSG00000090971	NAT14	33	41.615	19	31.406	55.132	42
ENSG00000090975	PITPNM2	81	114	108.563	123.132	72	69
ENSG00000090989	EXOC1	237.475	359.025	221.035	249.999	435.423	293.004
ENSG00000091009	RBM27	405.262	510.282	384.834	221.646	222.836	264.21
ENSG00000091010	POU4F3	13.048	11.066	5.031	14.207	15.4	12.245
ENSG00000091039	OSBPL8	185	259	221.019	204.191	193.983	222
ENSG00000091073	DTX2	62.682	53.995	61.999	84.154	57.051	42
ENSG00000091106	NLRC4	1	3.007	3	1	5	5
ENSG00000091127	PUS7	226.209	283	225.994	147.411	132	176
ENSG00000091128	LAMB4	5	2	2	12	11.011	4
ENSG00000091129	NRCAM	9	12	8	12.449	6	9
ENSG00000091136	LAMB1	27	32.141	26.004	102.585	23.001	8.001
ENSG00000091137	SLC26A4	27	48	21	26.3	39	23.999
ENSG00000091138	SLC26A3	5	3	4	5	5	3
ENSG00000091140	DLD	579	576.999	502	466.68	488	555
ENSG00000091157	WDR7	197.391	218.825	171.731	277.944	277.001	335.58
ENSG00000091164	TXNL1	375.01	463	329.773	245.335	262	231
ENSG00000091181	IL5RA	19	16	22	35.4	25	15
ENSG00000091262	ABCC6	24.91	15.256	29.947	27.501	24.936	18.28
ENSG00000091317	CMTM6	3	14	5	15	3.706	4
ENSG00000091409	ITGA6	1111.308	1244.645	1157.359	1194.065	817.782	857.763
ENSG00000091428	RAPGEF4	16.918	27	5	17.991	26	23
ENSG00000091436	MAP3K20	83.002	142	108	69.998	95.026	68.982
ENSG00000091482	SMPX	0	1	3	2	2	0
ENSG00000091483	FH	321.891	420.722	436.671	332.759	426.409	295.004
ENSG00000091490	SEL1L3	128	173.686	149.356	144.676	189.786	219
ENSG00000091513	TF	43.391	58.126	34.756	127.122	63.559	40.031
ENSG00000091527	CDV3	1209.935	1437.026	1261.755	709.285	809.636	884.588
ENSG00000091536	MYO15A	133.372	141.606	120	374.912	158.151	148.677
ENSG00000091542	ALKBH5	690	715.807	606	396.186	437.872	496
ENSG00000091583	APOH	0	0	1	2	0	0
ENSG00000091592	NLRP1	44.92	62.962	44.657	76.817	84.978	51.953
ENSG00000091622	PITPNM3	45.088	41.509	27.437	373.625	36.152	37.001
ENSG00000091640	SPAG7	250	397	282	142.012	173	199
ENSG00000091651	ORC6	183.833	265.814	178.509	137.206	144.89	128.091
ENSG00000091656	ZFHX4	1180.001	1249.001	988	697.731	726.707	751.032
ENSG00000091664	SLC17A6	8.021	20	13	13	13.843	7.995
ENSG00000091704	CPA1	10	16	7	9	9	13
ENSG00000091732	ZC3HC1	98	114	110.474	94.366	57.001	97
ENSG00000091831	ESR1	101.039	133.65	71.543	111.348	177.673	90.829
ENSG00000091844	RGS17	30	57.827	44	51	44	32.513
ENSG00000091879	ANGPT2	43.031	54	23	49.907	28.007	17.04
ENSG00000091947	TMEM101	31	41.078	24	16	19	23
ENSG00000091972	CD200	27.708	45.134	17.957	28.288	27	31.304
ENSG00000091986	CCDC80	71.667	98.854	94.568	61.974	78.797	87.914
ENSG00000092009	CMA1	0	3	1	0	1	0
ENSG00000092010	PSME1	509.083	688.999	528	452.993	445	522
ENSG00000092020	PPP2R3C	113	178.001	117	93.955	95.001	114.001
ENSG00000092036	HAUS4	88.037	100.084	74	89.272	99	79.828
ENSG00000092051	JPH4	373.547	460.918	363	428.694	548.95	473.265
ENSG00000092054	MYH7	83.034	85.915	52.632	196.533	39.578	63.13
ENSG00000092067	CEBPE	2	1	7	7	4	7
ENSG00000092068	SLC7A8	14.029	13	8	15	19.001	13.001
ENSG00000092094	OSGEP	23.205	16	16	36	22.185	17
ENSG00000092096	SLC22A17	34	64.999	53.001	57.094	72	54.001
ENSG00000092098	RNF31	77.94	84.18	70.321	335.181	81.388	69.764
ENSG00000092108	SCFD1	278	321.149	222.839	222.7	189.999	210.001
ENSG00000092140	G2E3	76.942	92.969	51.596	74.657	67.652	73.596
ENSG00000092148	HECTD1	1316.198	1547.721	1327.304	1174.085	1004.516	987.702
ENSG00000092199	HNRNPC	1142.261	1334.505	978.706	624.619	776.942	1074.732
ENSG00000092200	RPGRIP1	41	70	56.828	33.003	19.973	23.67
ENSG00000092201	SUPT16H	2223.984	2472.782	2198.758	948.34	1030.713	1128.819
ENSG00000092203	TOX4	274	323.595	279.914	214.033	229.001	242.964
ENSG00000092208	GEMIN2	37	48	32	47	53	60
ENSG00000092295	TGM1	82.68	148.851	127	95.66	135.954	104.649
ENSG00000092330	TINF2	30	39	17	28.576	38	29
ENSG00000092345	DAZL	2	8	10	19	3	4
ENSG00000092377	TBL1Y	247.181	302.494	246.484	141.006	154.562	196.16
ENSG00000092421	SEMA6A	357.118	442.979	312.205	462.34	467.812	487.991
ENSG00000092439	TRPM7	495	545	461.003	353.454	306.495	285
ENSG00000092445	TYRO3	92.639	123.467	121.745	182.152	162.333	123.368
ENSG00000092470	WDR76	20	35	34	16	17.752	17
ENSG00000092529	CAPN3	7.251	12.639	12.664	29.664	22.825	13.115
ENSG00000092531	SNAP23	116	159.995	101.002	113.018	106	100
ENSG00000092607	TBX15	7	11.057	17	14	17.683	12.991
ENSG00000092621	PHGDH	639.001	807.999	529.113	1287.633	1415.999	1538
ENSG00000092758	COL9A3	1238.559	154.399	1201.924	1363.303	2440.598	2122.313
ENSG00000092820	EZR	288.511	301	302	122.015	161	113
ENSG00000092841	MYL6	2399.58	3018.755	2245.382	1446.467	1537.952	1781.978
ENSG00000092847	AGO1	353.897	362	387.001	438.503	188.667	227.953
ENSG00000092850	TEKT2	3	5.023	0	64.32	8	7
ENSG00000092853	CLSPN	189	257.001	139	96.099	98.001	118
ENSG00000092871	RFFL	20	22.254	23	14.478	21	20.134
ENSG00000092929	UNC13D	14.003	27.458	22.002	36.357	41.742	28.126
ENSG00000092931	MFSD11	100.197	141.018	111.082	108.79	157.123	121.995
ENSG00000092964	DPYSL2	1334.016	1536.907	1386	1066.268	1014	1085.06
ENSG00000092969	TGFB2	347	388	312	154.004	107.04	157.25
ENSG00000092978	GPATCH2	52	51.999	80	66.357	36.001	50
ENSG00000093000	NUP50	145.88	196.558	166.788	115.139	98.347	94.979
ENSG00000093009	CDC45	139.441	230.234	158.563	104.092	242.82	101.848
ENSG00000093010	COMT	58	88.999	63	63.21	55.999	45
ENSG00000093072	ADA2	14.086	18	12	32	14	11.169
ENSG00000093100	ENSG00000093100	1636.276	2345.559	1352.272	1886.816	4420.757	3359.646
ENSG00000093134	VNN3P	0	0	0	0	0	0
ENSG00000093144	ECHDC1	27	58	33	31.002	19	35.95
ENSG00000093167	LRRFIP2	168.411	191.999	157.357	122.894	129.745	141.527
ENSG00000093183	SEC22C	30	48	24	69.463	29.005	23.018
ENSG00000093217	XYLB	15	36.999	27.055	11	15	15
ENSG00000094631	HDAC6	153.001	157.999	123	152	153	121
ENSG00000094661	OR1I1	2	12	5	4	5.976	4
ENSG00000094755	GABRP	4	4	0	3	9	1
ENSG00000094796	KRT31	6.037	2.134	7.539	6.232	4.993	1.116
ENSG00000094804	CDC6	113.999	162	130.001	57	71.686	61.899
ENSG00000094841	UPRT	23.999	64.999	47	430	38	48.999
ENSG00000094880	CDC23	104.729	219.991	161	121.82	124.415	94.999
ENSG00000094914	AAAS	287	331	268	209.001	232.001	270
ENSG00000094916	CBX5	2659.612	2912.651	2609.998	1089.037	1192.002	1336.283
ENSG00000094963	FMO2	8	8.115	5	19.51	8	11.655
ENSG00000094975	SUCO	715	792	634	388.925	471.857	529.001
ENSG00000095002	MSH2	269.999	348.987	271.067	209.236	225.001	221
ENSG00000095015	MAP3K1	279	393.9	273	161.796	179	132
ENSG00000095059	DHPS	67.094	86.696	53.248	59.062	52.608	44.828
ENSG00000095066	HOOK2	24	45.24	54.139	58.07	41.999	32
ENSG00000095110	NXPE1	20	17	11	18.002	9	14
ENSG00000095139	ARCN1	1388.001	1671.999	1270.617	773.999	812	845
ENSG00000095203	EPB41L4B	41.447	94.504	64.654	1820.768	147.968	110
ENSG00000095209	TMEM38B	11	9	7	13.179	3.001	4
ENSG00000095261	PSMD5	79	98	70	81	72.999	70.999
ENSG00000095303	PTGS1	63.073	83	66	286	244.081	306.222
ENSG00000095319	NUP188	529	660.942	556.954	464.027	426.354	440
ENSG00000095321	CRAT	766.996	1059.22	764.994	724.791	1317.481	968.494
ENSG00000095370	SH2D3C	85.423	65.866	95.209	137.583	188.929	102.239
ENSG00000095380	NANS	401.999	519	370.999	292.299	286.002	352.998
ENSG00000095383	TBC1D2	5	4.072	13	30	6	4
ENSG00000095397	WHRN	63.957	68.677	57.61	45.811	59.994	50.655
ENSG00000095464	PDE6C	9	19	8	10	15	11
ENSG00000095485	CWF19L1	54	58	25	42.988	25.999	28.001
ENSG00000095539	SEMA4G	53	54	45	64.918	116.999	85
ENSG00000095564	BTAF1	852.956	885	761.763	644.499	571.016	467
ENSG00000095574	IKZF5	124	145	129.996	61.001	87	89
ENSG00000095585	BLNK	23.063	40.082	32.807	66.146	43.158	18.403
ENSG00000095587	TLL2	6	14.814	7.013	1434.497	10.062	11
ENSG00000095596	CYP26A1	2.999	16.457	6.165	17.196	1.245	2.403
ENSG00000095627	TDRD1	4.999	5.009	13	5	11.001	5
ENSG00000095637	SORBS1	139.001	180.909	146.571	103.772	96.001	117.421
ENSG00000095713	CRTAC1	9	12.479	13	26.112	15.001	9
ENSG00000095739	BAMBI	292	437.958	287	361	351.013	414.971
ENSG00000095752	IL11	3	12	6	83.605	9.085	11.011
ENSG00000095777	MYO3A	13	9.03	18	28	9	6.172
ENSG00000095787	WAC	1124.999	1390.886	1096.063	690.071	1229.534	1106.051
ENSG00000095794	CREM	31.999	56.2	40	42.282	47.001	37.999
ENSG00000095906	NUBP2	72.004	73.986	90.841	77.697	66	45.011
ENSG00000095917	TPSD1	0	0	1	2.291	0	1
ENSG00000095932	SMIM24	9	10	2.936	32.975	11	3
ENSG00000095951	HIVEP1	101	133	122	92.869	117	103
ENSG00000095970	TREM2	2	4	2	3	9	2
ENSG00000095981	KCNK16	74.015	94.001	79.995	102.038	140.043	111.996
ENSG00000096006	CRISP3	0	2.564	0	5	3	4
ENSG00000096060	FKBP5	300.601	300.755	247.492	153.378	143.335	207.82
ENSG00000096063	SRPK1	694.802	961.216	689.622	472.319	536.427	581.919
ENSG00000096070	BRPF3	131.018	126.103	129	218.851	111.999	150.367
ENSG00000096080	MRPS18A	310	352	292	164.49	141	205
ENSG00000096088	PGC	5	5	6	5	2	0
ENSG00000096092	TMEM14A	0	1	0	0	0	6
ENSG00000096093	EFHC1	27.59	35.957	29.558	54.116	40.849	39.839
ENSG00000096264	NCR2	1	0	2	4	0	3
ENSG00000096384	HSP90AB1	24244.754	28664.488	23348.32	12640.985	13378.256	15726.741
ENSG00000096395	MLN	2	6	5	2.999	8	0
ENSG00000096401	CDC5L	718	932.992	703	315	330	376
ENSG00000096433	ITPR3	68.938	56.666	57.636	99.05	91.1	70.319
ENSG00000096654	ZNF184	56.262	87.916	65.27	78.424	92.145	76.483
ENSG00000096696	DSP	117.246	146.703	112.833	521.204	164.552	164
ENSG00000096717	SIRT1	216	281.739	177.102	155.008	197.999	173.001
ENSG00000096746	HNRNPH3	284.001	341.001	279.929	185.395	231.998	287.001
ENSG00000096872	IFT74	59.47	76	86.999	35	49.037	51.001
ENSG00000096968	JAK2	123.598	194.747	140.272	151.399	187.999	269.661
ENSG00000096996	IL12RB1	5.001	8	12	17	14.001	16.617
ENSG00000097007	ABL1	311.993	357	318.081	239.62	274	246.012
ENSG00000097021	ACOT7	788.999	892.626	755.165	438.279	426.659	537.833
ENSG00000097033	SH3GLB1	565.001	674	563	256.948	263	340
ENSG00000097046	CDC7	50.999	40	38	21	17.001	28
ENSG00000097096	SYDE2	74	88.001	90	382.255	72.61	65.114
ENSG00000099139	PCSK5	61.163	78.16	56.002	73.308	27	34.087
ENSG00000099194	SCD	605.098	706.079	570.718	1288.354	1356.847	1385.317
ENSG00000099203	TMED1	31	54.324	35	36.5	23	20
ENSG00000099204	ABLIM1	237	292.001	244	67.124	70	95.127
ENSG00000099219	ERMP1	196.328	277.187	205.352	200.884	225.007	276.034
ENSG00000099246	RAB18	178.041	253	160.269	214.349	229.999	210.999
ENSG00000099250	NRP1	693.001	854	735	866.837	681.004	674
ENSG00000099251	HSD17B7P2	5.806	8.781	0	7.965	0	8.555
ENSG00000099256	PRTFDC1	0	4	15.486	7.001	5	0
ENSG00000099260	PALMD	20.001	22	14	21.89	28	23
ENSG00000099282	TSPAN15	31	51.013	23.001	74	54	78
ENSG00000099284	MACROH2A2	22	35	23.014	34.163	33	24
ENSG00000099290	WASHC2A	198.576	130.157	67.557	116.006	169.015	83.483
ENSG00000099308	MAST3	58.102	84.262	67	161.614	60.425	51
ENSG00000099326	MZF1	57	77.029	38	89.167	63.079	70.709
ENSG00000099330	OCEL1	5	11	9	7.982	5	7
ENSG00000099331	MYO9B	287.001	468.521	393.79	862.409	478.84	364.955
ENSG00000099337	KCNK6	26.001	56	40	20.824	31	14.024
ENSG00000099338	CATSPERG	20	40	24	34.663	26.789	27.959
ENSG00000099341	PSMD8	718.99	864.347	717.69	444.341	465.899	529.056
ENSG00000099364	FBXL19	397.127	505.473	343.406	365.248	385.936	417.604
ENSG00000099365	STX1B	81	100.071	82	53.047	60	64
ENSG00000099377	HSD3B7	3.894	6.85	2	8.013	7.076	10.295
ENSG00000099381	SETD1A	2021.997	3112.993	2074.618	3998.595	3837.228	2642.793
ENSG00000099385	BCL7C	109.838	131.317	268.11	84.74	138.608	125.808
ENSG00000099399	MAGEB2	3	2	6	17	11.233	11
ENSG00000099617	EFNA2	14.096	27.454	25.368	59.688	17.832	18.624
ENSG00000099622	CIRBP	69.007	107.001	93	79.473	95.752	91.876
ENSG00000099624	ATP5F1D	30	33.001	36	15	24.333	26.417
ENSG00000099625	CBARP	124.247	162.956	144.698	173.811	215.507	180.689
ENSG00000099715	PCDH11Y	8	13.108	15.02	0	13.978	22.997
ENSG00000099721	AMELY	1	3	1.002	4	0	0
ENSG00000099725	PRKY	0	1.058	0	0	2.647	0
ENSG00000099769	IGFALS	28.069	28.039	39	25.64	30	37
ENSG00000099783	HNRNPM	4581.971	5430	4312.873	1755.707	1950.86	2288.001
ENSG00000099785	MARCHF2	227.06	331.837	297.46	311.861	424.695	455.966
ENSG00000099795	NDUFB7	254	382	264	204.993	179	256
ENSG00000099797	TECR	268.248	301.542	240.025	223.869	274.464	240.137
ENSG00000099800	TIMM13	64	89	69	46	37	37
ENSG00000099804	CDC34	297.001	379.9	348.876	175.009	360.913	376.918
ENSG00000099810	MTAP	322.472	353.682	365.077	333.923	397.822	423.313
ENSG00000099812	MISP	1	5	10	38	5	1
ENSG00000099814	CEP170B	161.867	192.464	142.632	188.204	207.666	204.87
ENSG00000099817	POLR2E	222.12	271.665	207.005	154.281	164.199	171.702
ENSG00000099821	POLRMT	34.462	29.855	12.677	111.562	8.56	15.866
ENSG00000099822	HCN2	633.116	695.078	620.414	1635.902	583.452	489.348
ENSG00000099834	CDHR5	9.996	7.002	4	7.913	5	11.984
ENSG00000099840	IZUMO4	10	13	13	15.141	14	9
ENSG00000099849	RASSF7	12	15.992	21.86	174.916	11.945	22
ENSG00000099860	GADD45B	10	14.014	8	16.039	10.003	12
ENSG00000099864	PALM	234	302.999	232	177.483	173.859	190
ENSG00000099866	MADCAM1	23.214	44.799	36.608	45.335	65.091	49.433
ENSG00000099869	IGF2-AS	109.295	276.593	185.46	247.53	406.24	317.721
ENSG00000099875	MKNK2	100.233	141.8	144.345	148.36	156.062	143.584
ENSG00000099889	ARVCF	263.456	279.582	231.908	181.544	192.218	164.035
ENSG00000099899	TRMT2A	68.987	82.819	51.742	447.947	96.498	74.994
ENSG00000099901	RANBP1	507.083	698.956	607.175	295.223	389.97	428.98
ENSG00000099904	ZDHHC8	212.378	292.756	285.283	216.159	586.873	542.992
ENSG00000099910	KLHL22	7	7	3	12.073	6	5
ENSG00000099917	MED15	383.407	480.439	366.712	325.91	369.882	297.655
ENSG00000099937	SERPIND1	0	9	2	8	8	4
ENSG00000099940	SNAP29	49.174	65.42	54.082	28.349	32	28.431
ENSG00000099942	CRKL	220.001	260.923	219	139.05	177	141.948
ENSG00000099949	LZTR1	77.155	115.505	107.772	115	76.776	61.444
ENSG00000099953	MMP11	11	17	13.999	68.088	37	23
ENSG00000099954	CECR2	646	618.888	550.437	747.132	795.022	794.994
ENSG00000099956	SMARCB1	704	850.352	710.134	501.497	544.161	573.77
ENSG00000099957	P2RX6	12.613	4	10	17	8.294	13.001
ENSG00000099958	DERL3	17.999	27.01	19.893	27.431	32	19.999
ENSG00000099960	SLC7A4	0	16.004	16.066	24.166	10.051	6.128
ENSG00000099968	BCL2L13	119.57	160	93	81.795	100.172	107.999
ENSG00000099974	DDTL	13	11.665	10.626	17.077	7	8.4
ENSG00000099977	DDT	4	14.335	15.374	9.153	8	9.594
ENSG00000099984	GSTT2	8	12	8.858	21	19.861	8.691
ENSG00000099985	OSM	4	11	1	22	3	10
ENSG00000099991	CABIN1	216	276.696	218	224.792	192.999	178.953
ENSG00000099992	TBC1D10A	80.32	192.454	102.315	159.994	291.82	220.567
ENSG00000099994	SUSD2	14	17	22	20	13	10
ENSG00000099995	SF3A1	814.999	1001.628	845	404.652	443.991	478.001
ENSG00000099998	GGT5	16	31	31	28.001	35	20
ENSG00000099999	RNF215	34	54	43	62.338	38.099	29.001
ENSG00000100003	SEC14L2	16.005	20.431	17	33.537	25.881	23.077
ENSG00000100012	SEC14L3	23	27	26	17.314	26	17
ENSG00000100014	SPECC1L	783.609	988.262	744.749	600.776	589.527	609.408
ENSG00000100023	PPIL2	106.001	139.018	130	149.285	95.055	124.008
ENSG00000100024	UPB1	36	42.633	41	36.629	35.884	33.991
ENSG00000100027	YPEL1	4	15	6	19.751	16.742	14
ENSG00000100028	SNRPD3	631.212	829.262	605.044	242.38	259.723	327.716
ENSG00000100029	PES1	333.724	353.604	317.999	184.174	216.046	233.001
ENSG00000100030	MAPK1	505	676.335	526	339.101	386.999	419.986
ENSG00000100031	GGT1	17.017	29.257	27.258	10.775	12.563	18.67
ENSG00000100033	PRODH	13.045	38.63	26.684	48.867	20	20
ENSG00000100034	PPM1F	38	60.767	35.027	102.456	52.215	48.999
ENSG00000100036	SLC35E4	77.008	94.989	92.572	109.245	94.928	96.006
ENSG00000100038	TOP3B	68.225	68.612	85.475	86.83	58.312	62.857
ENSG00000100053	CRYBB3	2	3	3	14	8	5
ENSG00000100055	CYTH4	48	68	41	66	56.164	50
ENSG00000100056	ESS2	64.919	101.119	91.001	88.941	78	68.221
ENSG00000100058	CRYBB2P1	0	0	0	0	0	0
ENSG00000100060	MFNG	4	10.267	7	27.332	2	6.105
ENSG00000100065	CARD10	43.01	62.776	37	57.2	34	42
ENSG00000100068	LRP5L	0	0	0	0	0	0
ENSG00000100075	SLC25A1	112	173.55	85.999	117.763	115.605	158
ENSG00000100077	GRK3	74.265	106.562	90.631	82.652	63.046	75
ENSG00000100078	PLA2G3	8	19.971	4	35.73	17	22
ENSG00000100079	LGALS2	0	1	0	1	2	0
ENSG00000100083	GGA1	450.07	542.929	394.985	260.19	368.834	253.835
ENSG00000100084	HIRA	267.987	322.834	225.974	193.999	194.268	199.993
ENSG00000100092	SH3BP1	47.97	87.157	47.999	82.689	48.241	49.242
ENSG00000100095	SEZ6L	41	126	56	73.999	121.999	73.464
ENSG00000100097	LGALS1	2954.955	3813	3256.941	2804.949	2962.001	3513.608
ENSG00000100099	HPS4	52	42.931	24	1003.841	57.999	32.172
ENSG00000100100	PIK3IP1	29.944	30.069	38.379	66	78.507	108.605
ENSG00000100101	ENSG00000100101	0	4.904	0	0	4.345	0
ENSG00000100104	SRRD	10	12	8	40.132	15	23
ENSG00000100105	PATZ1	382.964	474.936	401.787	350.47	303.031	313.459
ENSG00000100106	TRIOBP	427.905	572.693	364.273	599.171	902.858	844.451
ENSG00000100109	TFIP11	139	173	151.859	92.886	103.754	118
ENSG00000100116	GCAT	39.985	35.994	22	38	26.982	46.301
ENSG00000100121	GGTLC2	2	1	0	0	0	1
ENSG00000100122	CRYBB1	0	1	0	0	0	2
ENSG00000100124	ANKRD54	33.001	46.001	54	38.374	31	22
ENSG00000100129	EIF3L	886.326	1045.067	826.323	371.854	464.885	470.985
ENSG00000100138	SNU13	445.251	526.656	444.496	146.996	206.49	211.053
ENSG00000100139	MICALL1	83	118	101	104.883	113	122.862
ENSG00000100142	POLR2F	916.988	1238.755	924.78	1131.551	1666.535	1360.419
ENSG00000100146	SOX10	53.001	79.999	57.306	50.884	44.176	39
ENSG00000100147	CCDC134	30.455	69.544	56	25.135	29.064	35.847
ENSG00000100150	DEPDC5	224.508	988.653	730.957	983.774	1280.389	1030.303
ENSG00000100151	PICK1	148.084	106.585	76	100.802	81.899	106.683
ENSG00000100154	TTC28	115.686	157.352	97	801.623	175.609	204.87
ENSG00000100156	SLC16A8	4.565	6	10.001	30.269	18.911	11
ENSG00000100162	CENPM	24	22	22.921	28	13	11
ENSG00000100167	SEPTIN3	34.027	58.57	10.458	58.009	66.509	77.532
ENSG00000100170	SLC5A1	19	12	3	27.954	15.997	18
ENSG00000100181	TPTEP1	0	0	0	0	0	0
ENSG00000100191	SLC5A4	2.001	3.266	0	3	1.042	2
ENSG00000100196	KDELR3	4	5	4	15.001	4	8
ENSG00000100197	CYP2D6	0	0	0	7	1.647	0
ENSG00000100201	DDX17	347.008	356	306	319	408.983	348.001
ENSG00000100206	DMC1	54.001	91	47	60.45	43	56
ENSG00000100207	TCF20	2692.097	2834.207	2406.186	1362.949	1463.231	1538.001
ENSG00000100209	HSCB	4	13	15	20	9	12
ENSG00000100211	CBY1	8	25	11	10.992	11	6.001
ENSG00000100216	TOMM22	168	218.934	141	124	97.857	105
ENSG00000100218	RSPH14	9.903	17	13	10	15	12.486
ENSG00000100219	XBP1	203	249	171	273.802	270	369.094
ENSG00000100220	RTCB	740.925	878.166	685	402.045	591.31	629.001
ENSG00000100221	JOSD1	370	415	310.02	350.768	354	398.009
ENSG00000100225	FBXO7	109.529	104.999	66.999	112	105	117
ENSG00000100226	GTPBP1	598.998	755	616	297.001	316.235	350.375
ENSG00000100227	POLDIP3	605.999	682.999	509.957	251.776	257.001	307.985
ENSG00000100228	RAB36	26	31.001	44	28.14	32	24
ENSG00000100234	TIMP3	13	15	14	26	23.187	7
ENSG00000100239	PPP6R2	694.747	806.868	712.973	664.149	1238.873	825.648
ENSG00000100241	SBF1	555.895	697.451	564.068	584.508	597.066	652.788
ENSG00000100242	SUN2	234.745	264.998	183.04	122.635	191.949	235.098
ENSG00000100243	CYB5R3	993	1177.954	1004.774	716.707	570.493	736.678
ENSG00000100246	DNAL4	76	63	46	45.34	55	41
ENSG00000100249	C22orf31	2	0	1	3	2	0
ENSG00000100253	MIOX	6	3	0	4	3	3
ENSG00000100258	LMF2	118.915	142	106	83.007	54.999	77
ENSG00000100263	RHBDD3	5	16	8	16.842	4	7
ENSG00000100266	PACSIN2	874	998.999	950.999	421.631	461.982	523
ENSG00000100271	TTLL1	82	104	89	86.96	123	137
ENSG00000100276	RASL10A	18.876	32.373	24.779	20.709	53.415	39.462
ENSG00000100280	AP1B1	391.66	634.141	438.549	462.137	643.89	483.299
ENSG00000100281	HMGXB4	177	230.842	255.789	154.861	165.374	159.104
ENSG00000100284	TOM1	41	50	46	60	67.021	70.999
ENSG00000100285	NEFH	615.009	827.406	605.149	312.296	297.395	384.508
ENSG00000100288	CHKB	26.492	44.341	8.279	35.236	28.66	49.895
ENSG00000100290	BIK	5.479	15	2	8.938	9.142	9.871
ENSG00000100292	HMOX1	73	99	73	129.995	114	115
ENSG00000100294	MCAT	11	25	11.328	14	9.605	11
ENSG00000100296	THOC5	328	419	319.72	199.999	217	249.999
ENSG00000100297	MCM5	830.924	957	893	433.914	421.001	410.999
ENSG00000100298	APOBEC3H	1.045	5.39	7	4	1	0
ENSG00000100299	ARSA	13	9	6	26.067	18	15
ENSG00000100300	TSPO	10	6	2	6.999	4	7
ENSG00000100302	RASD2	12.889	14	9	40.865	13.098	15.998
ENSG00000100304	TTLL12	311.02	374	266	219.053	197	196.452
ENSG00000100307	CBX7	116.445	171.385	145.027	149.317	141.006	162.286
ENSG00000100311	PDGFB	31.002	37.661	34	30.064	21.808	27.16
ENSG00000100312	ACR	3.854	11.807	4	11.55	17.938	4
ENSG00000100314	CABP7	19	17	48	17.876	95.192	63.498
ENSG00000100316	RPL3	848.12	881.33	712.613	466.784	493.95	596.408
ENSG00000100319	ZMAT5	58	55	37	45.071	63.989	62
ENSG00000100320	RBFOX2	843.548	1112.886	863.212	643.387	678.454	715.198
ENSG00000100321	SYNGR1	101	144	125	155.96	119.002	125
ENSG00000100324	TAB1	335.998	651.614	371	374.848	599.49	432.632
ENSG00000100325	ASCC2	232.999	308.999	230.161	256.684	250.999	293.001
ENSG00000100330	MTMR3	379	379.857	312	391.672	434.001	385
ENSG00000100335	MIEF1	270.273	338.978	284.166	220.892	193.742	267.246
ENSG00000100336	APOL4	1	4	1.013	58.879	5	6.001
ENSG00000100341	PNPLA5	5	10.57	2	19	3.055	9.374
ENSG00000100342	APOL1	35.994	60.045	39.095	42.369	1.98	8.088
ENSG00000100344	PNPLA3	2244.123	4325.244	2524.67	2181.745	5352.876	3323.706
ENSG00000100345	MYH9	9034.895	11899.412	9466.84	4416.85	4490.238	5190.503
ENSG00000100346	CACNA1I	173.067	261.806	230.107	245.117	140.171	176.579
ENSG00000100347	SAMM50	317.674	315.046	272.192	141.916	156.201	144.971
ENSG00000100348	TXN2	170.999	190.993	168.999	57.152	91	101
ENSG00000100350	FOXRED2	59	46.133	55.156	53.765	47.038	56.22
ENSG00000100351	GRAP2	41	29.037	33	42.009	46.997	46.048
ENSG00000100353	EIF3D	3374.014	3674.002	3187	1537.83	1715.001	1943.598
ENSG00000100354	TNRC6B	1835.903	2302.999	1819.018	1145.003	1182.001	1179
ENSG00000100359	SGSM3	180.96	218.942	174.899	212.533	143.787	153
ENSG00000100360	IFT27	67.999	72.033	82	62.058	107.927	82.991
ENSG00000100362	PVALB	0	0	5	7	1	1
ENSG00000100364	KIAA0930	473.124	537.043	461	395.001	381.001	390.001
